name,description,source
unset,Remove variable or function names,linux
unshar,Unpack shell archive scripts,linux
until,Execute commands (until error),linux
useradd,Create new user account,linux
userdel,Delete a user account,linux
usermod,Modify user account,linux
users,List users currently logged in,linux
uuencode,Encode a binary file,linux
uudecode,Decode a file created by uuencode,linux
vi,Text Editor,linux
vmstat,Report virtual memory statistics,linux
w,Show who is logged on and what they are doing,linux
wait,Wait for a process to complete •,linux
watch,Execute/display a program periodically,linux
wc,"Print byte, word, and line counts",linux
whereis,"Search the user's $path, man pages and source files for a program",linux
which,Search the user's $path for a program file,linux
while,Execute commands,linux
who,Print all usernames currently logged in,linux
whoami,Print the current user id and name ('id -un'),linux
write,Send a message to another user,linux
xargs,"Execute utility, passing constructed argument list(s)",linux
xdg-open,Open a file or URL in the user's preferred application.,linux
xxd,Make a hexdump or do the reverse,linux
xz,Compress or decompress .xz and .lzma files,linux
yes,Print a string until interrupted,linux
zip,Package and compress (archive) files,linux
.,Run a command script in the current shell,linux
!!,Run the last command again,linux
###,Comment / Remark,linux
afconvert,Audio File Convert,macos
afinfo,Audio File Info,macos
afplay,Audio File Play,macos
airport,Manage Apple AirPort,macos
alias,Create an alias •,macos
apropos,Search the whatis database for strings,macos
asr,Apple Software Restore,macos
awk,Find and Replace text within file(s),macos
basename,Convert a full pathname to just a filename,macos
bash,Bourne-Again SHell,macos
bc,Arbitrary precision calculator language,macos
bg,Send to background •,macos
bind,Set or display readline key and function bindings •,macos
bless,Set volume bootability and startup disk options,macos
break,"Exit from a For, While, Until or Select loop •",macos
brew,Package manager,macos
builtin,Execute a shell builtin •,macos
bzip2,Compress or decompress files,macos
caffeinate,Prevent the system from sleeping,macos
cal,Display a calendar,macos
calendar,Reminder Service,macos
caller,Return the context of a subroutine call •,macos
cancel,Cancel print jobs,macos
case,Conditionally perform a command •,macos
cat,Concatenate and print (display) the content of files,macos
cd,Change Directory •,macos
chflags,Change a file or folder's flags,macos
chgrp,Change group ownership,macos
chmod,Change access permissions,macos
chown,Change file owner and group,macos
chroot,Run a command with a different root directory,macos
chsh,"Add or change user database information, change default shell",macos
cksum,Print CRC checksum and byte counts,macos
cmp,Compare two files,macos
codesign,Create and manipulate code signatures,macos
comm,Compare two sorted files line by line,macos
command,Run a command (not a function) •,macos
complete,Edit a command completion [word/pattern/list] •,macos
continue,Resume the next iteration of a loop •,macos
cp,Copy one or more files to another location,macos
cpio,Copy files to and from archives,macos
createhomedir,Create and populate home directories on the local computer,macos
cron,Daemon to execute scheduled commands,macos
crontab,Schedule a command to run at a later date/time,macos
csplit,Split a file into context-determined pieces,macos
csrutil,Configure System Integrity Protection (SIP),macos
cupsfilter,Convert a file to another format using cups filters,macos
curl,Transfer data  from or to a server,macos
cut,Divide a file into several parts,macos
date,Display or change the date & time,macos
dc,Desk Calculator,macos
dd,"Data Duplicator - convert and copy a file, clone disks",macos
declare,Declare variable & set attributes •,macos
defaults,"Set preferences, show hidden files",macos
df,Display free disk space,macos
diff,Display the differences between two files,macos
diff3,Show differences among three files,macos
dig,DNS lookup,macos
dirname,Convert a full pathname to just a path,macos
dirs,Display list of remembered directories •,macos
diskutil,"Disk utilities - Format, Verify, Repair",macos
disown,Unbind a job from the current login session •,macos
ditto,Copy files and folders,macos
dot_clean,Remove dot-underscore files,macos
drutil,Interact with CD/DVD burners,macos
dscacheutil,Query or flush the Directory Service/DNS cache,macos
dseditgroup,"Edit, create, manipulate, or delete groups",macos
dsenableroot,Enable root access,macos
dscl,Directory Service command line utility,macos
du,Estimate file space usage,macos
echo,Display text on screen •,macos
enable,Enable and disable builtin shell commands •,macos
env,List or Set environment variables,macos
eval,Evaluate several commands/arguments •,macos
exec,Execute a command •,macos
exit,Exit the shell •,macos
execsnoop,Snoop new process execution,macos
expand,Convert tabs to spaces,macos
expect,"Programmed dialogue with interactive programs
Also see AppleScript",macos
export,Set an environment variable •,macos
expr,Evaluate expressions,macos
false,"Do nothing, unsuccessfully",macos
fc,Fix command (history),macos
fdisk,Partition table manipulator for Darwin UFS/HFS/DOS,macos
fg,Send job to foreground •,macos
file,Determine file type,macos
find,Search for files that meet a desired criteria,macos
fmt,Reformat paragraph text,macos
fold,Wrap text to fit a specified width,macos
for,Loop command •,macos
fsck,Filesystem consistency check and repair,macos
fs_usage,Filesystem usage (process/pathname),macos
ftp,Internet file transfer program,macos
function,Define Function Macros,macos
fuser,List processes that have one or more files open,macos
GetFileInfo,Get attributes of HFS+ files,macos
getopt,Parse positional parameters,macos
getopts,Parse positional parameters •,macos
goto,Jump to label and continue execution,macos
grep,Search file(s) for lines that match a given pattern,macos
groups,Print group names a user is in,macos
gzip,Compress or decompress files,macos
halt,Stop and restart the operating system,macos
hash,Refresh the cached/remembered location of commands •,macos
head,Display the first lines of a file,macos
hdiutil,Manipulate iso disk images,macos
history,Command History •,macos
hostname,Print or set system name,macos
iconv,Convert the character set of a file,macos
id,Print user and group names/id's,macos
if,Conditionally perform a command •,macos
ifconfig,Configure network interface parameters,macos
iostat,Report CPU and i/o statistics,macos
ipconfig,View and control IP configuration state,macos
info,Help info,macos
install,Copy files and set attributes,macos
installer,System software and .pkg package installer tool,macos
iosnoop,Snoop I/O events as they occur,macos
jobs,List active jobs •,macos
join,Join lines on a common field,macos
kextfind,List kernel extensions,macos
kextstat,Display status of loaded kernel extensions (kexts),macos
kextunload,Terminate driver instances and unload kernel extensions.,macos
kickstart,Configure Apple Remote Desktop,macos
kill,Kill a process by specifying its PID,macos
killall,Kill processes by name,macos
klist,List cached Kerberos tickets,macos
l,List files in long format (ls -l),macos
last,Indicate last logins of users and ttys,macos
launchctl,Load or unload daemons/agents,macos
ll,"List files in long format, showing invisible files (ls -la)",macos
leave,Remind you when you have to leave,macos
less,Display output one screen at a time,macos
let,Evaluate expression •,macos
lipo,Convert a universal binary,macos
ln,"Make links between files (hard links, symbolic links)",macos
local,Set a local (function) variable •,macos
locate,Find files,macos
logname,Print current login name,macos
login,log into the computer,macos
logout,Exit a login shell (bye) •,macos
look,Display lines beginning with a given string,macos
lp,Print files,macos
lpr,Print files,macos
lprm,Remove jobs from the print queue,macos
lpstat,Printer status information,macos
ls,List information about file(s),macos
lsregister,Reset the Launch Services database,macos
lsbom,List a bill of materials file,macos
lsof,List open files,macos
md5,Calculate a checksum for a file,macos
mdfind,Spotlight search,macos
mdimport,Import file hierarchies into the Spotlight datastore.,macos
mdls,List the metadata attributes for a specified file,macos
mdutil,Manage Spotlight metadata store,macos
mkdir,Create new folder(s),macos
mkfifo,Make FIFOs (named pipes),macos
mkfile,Make a file,macos
mktemp,Make a temporary file,macos
more,Display output one screen at a time,macos
mount,Mount a file system,macos
mv,Move or rename files or directories,macos
nano,Simple text editor,macos
nc/netcat,Read and write data across networks,macos
net,Manage network resources,macos
networkQuality,Network quality testing tool,macos
networksetup,Network and System Preferences,macos
nice,Set the priority of a command,macos
nl,Number lines and write files,macos
nohup,Run a command immune to hangups,macos
ntfs.util,NTFS file system utility,macos
nvram,Manipulate  firmware variables,macos
onintr,Control the action of a shell interrupt,macos
open,Open a file/folder/URL/Application,macos
opensnoop,Snoop file opens as they occur,macos
openssl,OpenSSL command line,macos
osacompile,Compile Applescript,macos
osascript,Execute AppleScript,macos
passwd,Modify a user password,macos
paste,Merge lines of files,macos
pbcopy,Copy data to the clipboard,macos
pbpaste,Paste data from the Clipboard,macos
pbs,General helper tool,macos
pgrep,List processes by a full or partial name,macos
ping,Test a network connection,macos
pkill,Kill processes by a full or partial name,macos
pkgbuild,Build a macOS Installer component package,macos
pkgutil,Query and manipulate installed packages,macos
pmset,Power Management settings,macos
popd,Restore the previous value of the current directory •,macos
pr,Convert text files for printing,macos
printenv,List environment variables,macos
printf,Format and print data •,macos
profiles,Profiles Tool,macos
ps,Process status,macos
pushd,Save and then change the current directory,macos
pwd,Print Working Directory •,macos
qlmanage,Quick Look Server debug and management tool,macos
quota,Display disk usage and limits,macos
rcp,Copy files between machines,macos
read,Read one line from standard input •,macos
readonly,Mark a variable or function as read-only •,macos
ReportCrash,Enable/Disable crash reporting,macos
return,Exit a function •,macos
rev,Reverse lines of a file,macos
rm,Remove files,macos
rmdir,Remove folder(s),macos
rsync,Remote file copy - Sync file tree,macos
say,Convert text to audible speech,macos
screen,"Multiplex terminal, run remote shells via ssh",macos
screencapture,Capture screen image to file or disk,macos
scselect,Switch between network locations,macos
scutil,Manage system configuration parameters,macos
sdiff,Merge two files interactively,macos
security,"Administer Keychains, keys, certificates and the Security framework",macos
sed,Stream Editor,macos
select,Generate a list of items •,macos
seq,Print numeric sequences,macos
serverinfo,Server information,macos
set,Set a shell variable = value •,macos
setfile,Set attributes of HFS+ files,macos
sharing,"Create share points for afp, ftp and smb services",macos
shasum,Print or Check SHA Checksums,macos
shift,Shift positional parameters •,macos
shopt,Set shell options •,macos
shortcuts,Manage macOS shortcuts,macos
shutdown,Shutdown or restart macOS,macos
sips,Scriptable image processing system,macos
sleep,Delay for a specified time,macos
softwareupdate,System software update tool,macos
sort,Sort text files,macos
source,Execute commands from a file •,macos
split,Split a file into fixed-size pieces,macos
sqlite3,SQL database (download history),macos
srm,Securely remove files or directories,macos
stat,Display the status of a file,macos
stop,Stop a job or process,macos
su,Substitute user identity,macos
sudo,Execute a command as another user,macos
sum,Print a checksum for a file,macos
suspend,Suspend execution of this shell •,macos
sw_vers,Print macOS operating system version,macos
sysctl,Get or set kernel state,macos
system_profiler,Report system configuration,macos
systemsetup,Computer and display system settings,macos
tabs,Set terminal tabs,macos
tab2space,Expand tabs and ensure consistent cr/lf line endings,macos
tail,Output the last part of files,macos
tar,Tape ARchiver,macos
taskpolicy,Execute a program with an altered I/O or scheduling policy,macos
tccutil,Manage the privacy database,macos
tcpdump,Dump traffic on a network,macos
tee,Redirect output to multiple files,macos
test,Condition evaluation •,macos
textutil,"Manipulate text files in various formats (Doc,html,rtf)",macos
time,Measure Program Resource Use,macos
times,Print shell & shell process times •,macos
tmutil,Time Machine utility,macos
top,Display process information,macos
touch,Change file timestamps,macos
tput,"Set terminal-dependent capabilities, color, position",macos
tr,"Translate, squeeze, and/or delete characters",macos
trap,Execute a command when the shell receives a signal •,macos
traceroute,Trace Route to Host,macos
traceroute6,Trace IPv6 Route to Host,macos
trimforce,Enable TRIM commands on third-party drives,macos
true,"Do nothing, successfully",macos
tty,Print filename of terminal on stdin,macos
type,Describe a command •,macos
ulimit,limit the use of system-wide resources •,macos
umask,Users file creation mask,macos
umount,Unmount a device,macos
unalias,Remove an alias •,macos
uname,Print the Darwin OS Kernel version / release / machine name,macos
unexpand,Convert spaces to tabs,macos
uniq,Uniquify files,macos
units,Convert units from one scale to another,macos
unset,Remove variable or function names •,macos
until,Loop command •,macos
uptime,Show how long system has been running,macos
users,Print login names of users currently logged in,macos
until,Execute commands (until error),macos
uuencode,Encode a binary file,macos
uudecode,Decode a file created by uuencode,macos
uuidgen,Generate a Unique ID (UUID/GUID),macos
vi,Text Editor,macos
w,Show who is logged on and what they are doing,macos
wait,Wait for a process to complete •,macos
wall,Write a message to users,macos
wc,"Print byte, word, and line counts",macos
whatis,Search the whatis database for complete words,macos
whereis,Locate a program,macos
which,Locate a program file in the user's path,macos
while,Loop command •,macos
who,Print all usernames currently logged on,macos
whoami,Print the current user id and name ('id -un'),macos
write,Send a message to another user,macos
xargs,Execute utility - passing arguments,macos
xattr,Display and manipulate extended attributes,macos
xcode-select,Install the command line developer tools,macos
xxd,Make a hexdump or do the reverse,macos
yes,Print a string until interrupted,macos
zip,Package and compress (archive) files.,macos
!!,Run the last command again,macos
Abs(number),Absolute (positive) value of number.,vbscript
.AppActivate,Activate running command.,vbscript
.Application,BrowseForFolder/Open.,vbscript
"Array(el1,el2,el3)",Add values to an Array variable.,vbscript
Arguments,Command line arguments.,vbscript
Asc(String),Return ASCII code for string.,vbscript
AscB(String),Return the byte code for a character.,vbscript
AscW(String),Return Unicode code for string.,vbscript
Beep,see StdOut.Write,vbscript
.BrowseForFolder,Prompt the user to select a folder.,vbscript
CBool(expression),Convert expression to Boolean (True/False) •,vbscript
CByte(expression),Convert expression to Byte (0-255) •,vbscript
CCur(expression),Convert expression to Currency (numeric) •,vbscript
CDate(expression),Convert expression to Date •,vbscript
CDbl(expression),Convert expression to Double (up to 1.79x10308) •,vbscript
Chr(ChrCode),Return the string character for ChrCode (ASCII code),vbscript
ChrB(ChrCode),Return the string character for ChrCode (Byte code),vbscript
ChrW(ChrCode),Return the string character for ChrCode (Unicode/DBCS),vbscript
CInt(expression),Convert expression to Integer •,vbscript
CLng(expression),Convert expression to long •,vbscript
CSng(expression),Convert expression to single •,vbscript
CStr(expression),Convert expression to a string •,vbscript
.CreateObject,Create an automation object / run an external command.,vbscript
.CreateShortcut,Create Shortcut.,vbscript
cscript,Run a VBScript .vbs file.,vbscript
.CurrentDirectory,Retrieve or change the current directory.,vbscript
Date(),The current system date.,vbscript
DateAdd,Add a time interval to a Date.,vbscript
DateDiff,Return the time interval between two dates.,vbscript
DatePart,Return part of a given date.,vbscript
DateSerial,"Return a Date from a numeric Year, Month and Day.",vbscript
DateValue,Return a Date from a string expression.,vbscript
Day(date),Return the day component of date (1-31),vbscript
Dim,Declare a new variable or array variable.,vbscript
Do..Loop,Repeat a block of statements.,vbscript
Drives,Drive Map .MapNetworkDrive - .Enum - .Remove,vbscript
.Echo,"Echo text to screen, also StdOut.Write /.Popup",vbscript
Environment Variables,Expand - .Delete/Remove.,vbscript
Escape(String),Return only ASCII characters from a Unicode string.,vbscript
Eval(expr),Evaluate an expression.,vbscript
.Exec,Run a command.,vbscript
Execute,Execute one or more  statements.,vbscript
Exp(n),Return e (base of natural logs) raised to a power n.,vbscript
Exit,Exit a block of code immediately.,vbscript
FileSystemObject,"Work with Drives, Folders and Files.",vbscript
Filter,Produce an array by filtering an existing array.,vbscript
Fix(number),Return the integer portion of a number.,vbscript
For...Next,Repeat a block of statements a given number of times.,vbscript
For Each...,Loop through the items in a collection or array.,vbscript
FormatCurrency,Format a number with a currency symbol.,vbscript
FormatNumber,Format a number.,vbscript
FormatPercent,Format a number with a % symbol.,vbscript
FormatDateTime,Format a Date/Time value.,vbscript
Function,Define a function procedure.,vbscript
GetLocale(),Return the Regional LocaleID.,vbscript
.GetObject,Get an Automation object.,vbscript
Hex(number),Return the hex value of number.,vbscript
Hour(time),h     Return the hour component of time.,vbscript
If..Then,Conditionally execute a block of statements.,vbscript
InputBox,Prompt for user input.,vbscript
InStr,Find one string within another.,vbscript
InStrRev,"Find one string within another, starting from the end.",vbscript
Int(number),Return the integer portion of a number.,vbscript
IsArray(varname),Is varname an array?,vbscript
IsDate(expression),Is expression a DateTime?,vbscript
IsEmpty(expression),Is expression initialised?,vbscript
IsNull(expression),Is expression NULL?,vbscript
IsNumeric(expression),Is expression a Numeric?,vbscript
IsObject(expression),Is expression an object?,vbscript
Join,Combine the contents of an array into a single variable.,vbscript
LBound,Return the smallest subscript for an array.,vbscript
LCase(String),Return String in lower case.,vbscript
"Left(String,len)",Return the leftmost len characters of string.,vbscript
Len(String),Return length of string in characters.,vbscript
Log(number),Return natural log of number.,vbscript
.LogEvent,Log an item in the Event log.,vbscript
LTrim(String),Remove any leading spaces from a string expression.,vbscript
.MapNetworkDrive,Drive Map.,vbscript
Mid,Return a mid-section from a string.,vbscript
Minute(time),Return the minute component of time.,vbscript
Month(date),Return the month component of date.,vbscript
MonthName,Convert a month number to a descriptive Month.,vbscript
MsgBox,Display a dialogue box message.,vbscript
.Network,Access network resources.,vbscript
Now,Return the current Date and Time.,vbscript
On Error,Error handling.,vbscript
Option Explicit,Force all variables to be defined,vbscript
.AddPrinterConn.AddWindowsPrConn,Add Printer connection.,vbscript
.EnumPrinterConnections,List Printer connections.,vbscript
.SetDefaultPrinter,Set default printer.,vbscript
.RemovePrinterConnection,Remove printer connection.,vbscript
Private VarName,Declare a local variable/array variable.,vbscript
Public VarName,Declare a public variable/array variable.,vbscript
.Quit,Quit.,vbscript
.ReadLine,Accept user text input.,vbscript
ReDim,Resize a dynamic array.,vbscript
.RegDelete,"Registry, delete.",vbscript
.RegRead,"Registry, read.",vbscript
.RegWrite,"Registry, write.",vbscript
REM,Add a Comment.,vbscript
Replace,Find and replace text.,vbscript
"RGB(Red,Green,Blue)",Return a system color code.,vbscript
"Right(String,len)",Return the rightmost len characters of string.,vbscript
Rnd,Return a random number.,vbscript
Round,Round a number to n decimal places.,vbscript
RTrim(String),Remove any trailing spaces from a string expression.,vbscript
.Run,Run a command.,vbscript
Second(time),Return the second component of time.,vbscript
Select...Case,Conditionally execute a block of statements.,vbscript
.SendKeys,Keyboard macros.,vbscript
Set variable = object,Assign an object reference.,vbscript
SetLocale(LocaleID),Set the Regional LocaleID,vbscript
Sgn(number),The sign of a number.,vbscript
.Shell,Shell.Application objects/methods.,vbscript
.ShellExecute,Run a script/application in the Windows Shell.,vbscript
.CreateShortcut,Create a Shortcut.,vbscript
.Sleep,Pause.,vbscript
Space,Return a string consisting of spaces.,vbscript
.SpecialFolders,"Path to Desktop,Start menu, Programs...",vbscript
Split,Parse a string of delimited values into an array.,vbscript
Sqr(number),Square root.,vbscript
StdOut.Read,Obtain User Input from the command prompt.,vbscript
StdOut.Write,"Echo text to the screen, also beep.",vbscript
StrComp,Compare two strings.,vbscript
String,Create a string with a single character repeated.,vbscript
StrReverse,Reverse a string.,vbscript
Sub,Declare a sub procedure.,vbscript
Time(),The current system time.,vbscript
TimeSerial,"Construct a Time value from Hours, Minutes and seconds",vbscript
TimeValue,Convert a string to a Time value.,vbscript
Trim(String),Remove leading and trailing spaces from string,vbscript
TypeName,Return variable type (variant subtype).,vbscript
UBound,Return the largest subscript for an array dimension,vbscript
UCase(String),Uppercase String,vbscript
UnEscape(Str),Return Unicode characters from an escaped ASCII string,vbscript
Weekday,Return the day of the week (1-7),vbscript
WeekdayName,Return the named day of the week,vbscript
While...Wend,Conditionally repeat a block of statements,vbscript
With,Assign multiple properties of an object,vbscript
Year(date),Return the year component of date (1-12),vbscript
' Remark,Add a Comment,vbscript
